                ,PC1                  ,PC2
Age             ,-0.39676347225720776 ,-0.1666422106400583
Matches_Played  ,-0.6321250987427521  ,-0.014632750736662856
Minutes         ,-0.6412706271957056  ,-0.07601049683939679
Goals           ,0.09422347891617161  ,-0.019583484906117533
Assists         ,-0.07155535827471511 ,0.874978399215975
Shots_on_Target ,0.0                  ,0.0
Yellow_Cards    ,0.1333054989151146   ,-0.44751307090797227
Red_Cards       ,-0.0                 ,-0.0
