Jugador                      ,País    ,Posc    ,Equipo      ,Edad    ,Nacimiento ,PJ ,Titular ,Mín    ,90 s ,Gls. ,Gls. ,Ass ,TP ,TA ,TR
Bruno Amione                 ,ar ARG  ,DF      ,Santos      ,22-327  ,2002       ,10 ,     10 , 855.0 , 9.5 , 0.0 ,0.00 ,0.0 , 0 , 2 , 0
Esteban Andrada              ,ar ARG  ,PO      ,Monterrey   ,33-304  ,1991       ,16 ,     16 ,1440.0 ,16.0 , 0.0 ,0.00 ,0.0 , 0 , 5 , 0
Alejandro Andrade            ,mx MEX  ,CC      ,Necaxa      ,23-101  ,2001       , 4 ,      2 , 186.0 , 2.1 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Luis Ángel Malagón           ,mx MEX  ,PO      ,América     ,27-268  ,1997       ,16 ,     16 ,1440.0 ,16.0 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Brayan Angulo                ,co COL  ,DF      ,Puebla      ,35-023  ,1989       ,17 ,     16 ,1432.0 ,15.9 , 0.0 ,0.00 ,2.0 , 0 , 1 , 0
Jesús Angulo                 ,mx MEX  ,"CC,DL" ,Toluca      ,27-279  ,1997       ,15 ,     11 , 839.0 , 9.3 , 5.0 ,0.54 ,3.0 , 0 , 0 , 0
José Antonio Rodríguez       ,mx MEX  ,PO      ,Tijuana     ,32-144  ,1992       ,10 ,     10 , 890.0 , 9.9 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Uriel Antuna                 ,mx MEX  ,"DL,CC" ,Cruz Azul   ,27-096  ,1997       , 5 ,      2 , 231.0 , 2.6 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Uriel Antuna                 ,mx MEX  ,DL      ,UANL        ,27-096  ,1997       ,10 ,      4 , 405.0 , 4.5 , 0.0 ,0.00 ,1.0 , 0 , 1 , 0
Javier Aquino                ,mx MEX  ,DF      ,UANL        ,34-288  ,1990       ,16 ,     15 ,1366.0 ,15.2 , 0.0 ,0.00 ,0.0 , 0 , 4 , 1
Pedro Aquino                 ,pe PER  ,CC      ,Santos      ,29-226  ,1995       , 7 ,      5 , 396.0 , 4.4 , 0.0 ,0.00 ,0.0 , 0 , 4 , 0
Diego Araujo                 ,mx MEX  ,CC      ,Querétaro   ,21-281  ,2003       , 2 ,      1 , 108.0 , 1.2 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
