Jugador                      ,País    ,Posc    ,Equipo      ,Edad    ,Nacimiento ,PJ ,Titular ,Mín    ,90 s ,Gls. ,Gls. ,Ass ,TP ,TA ,TR
Misael Domínguez             ,mx MEX  ,"DL,CC" ,Querétaro   ,25-029  ,1999       , 2 ,      1 ,  78.0 , 0.9 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Dória                        ,br BRA  ,DF      ,Atlas       ,30-017  ,1994       ,14 ,     13 ,1180.0 ,13.1 , 0.0 ,0.00 ,0.0 , 0 , 4 , 0
Jonathan dos Santos          ,mx MEX  ,CC      ,América     ,34-213  ,1990       ,14 ,     11 , 751.0 , 8.3 , 0.0 ,0.00 ,0.0 , 0 , 3 , 0
Rodrigo Dourado              ,br BRA  ,"CC,DF" ,Atlético    ,30-161  ,1994       ,16 ,     16 ,1415.0 ,15.7 , 1.0 ,0.06 ,0.0 , 0 , 5 , 0
Anderson Duarte              ,uy URU  ,"CC,DL" ,Toluca      ,20-247  ,2004       , 7 ,      0 , 136.0 , 1.5 , 1.0 ,0.66 ,0.0 , 0 , 0 , 0
Rubén Duarte                 ,es ESP  ,DF      ,UNAM        ,29-038  ,1995       ,14 ,     14 ,1241.0 ,13.8 , 0.0 ,0.00 ,0.0 , 0 , 3 , 0
Rafael Durán                 ,mx MEX  ,"CC,DL" ,Puebla      ,27-097  ,1997       , 8 ,      0 , 151.0 , 1.7 , 1.0 ,0.60 ,0.0 , 0 , 0 , 0
Emmanuel Echeverría          ,mx MEX  ,DF      ,Santos      ,21-052  ,2003       ,14 ,     11 ,1064.0 ,11.8 , 1.0 ,0.08 ,0.0 , 0 , 3 , 0
Edson                        ,br BRA  ,DF      ,FC Juárez   ,26-215  ,1998       ,13 ,      6 , 523.0 , 5.8 , 0.0 ,0.00 ,0.0 , 0 , 3 , 0
José Eduardo Castillo        ,mx MEX  ,DF      ,Pachuca     ,20-283  ,2004       , 1 ,      1 ,  90.0 , 1.0 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Javier Eduardo López         ,mx MEX  ,"CC,DL" ,Pachuca     ,30-069  ,1994       , 3 ,      0 ,  87.0 , 1.0 , 1.0 ,1.03 ,0.0 , 0 , 0 , 0
Jorge Eduardo Sánchez        ,mx MEX  ,"DF,DL" ,Cruz Azul   ,26-351  ,1997       ,15 ,     15 ,1242.0 ,13.8 , 1.0 ,0.07 ,1.0 , 0 , 2 , 0
Francisco Eduardo Venegas    ,mx MEX  ,DF      ,Querétaro   ,26-132  ,1998       ,12 ,     11 , 821.0 , 9.1 , 0.0 ,0.00 ,0.0 , 0 , 3 , 0
Luis Enrique Quiñones        ,co COL  ,"DL,CC" ,Puebla      ,33-152  ,1991       ,11 ,     10 , 878.0 , 9.8 , 3.0 ,0.31 ,1.0 , 1 , 6 , 1
Luis Enrique Quiñones        ,co COL  ,"DL,CC" ,UANL        ,33-152  ,1991       , 4 ,      2 , 171.0 , 1.9 , 0.0 ,0.00 ,1.0 , 0 , 0 , 0
Robert Ergas                 ,uy URU  ,DF      ,UNAM        ,26-315  ,1998       ,14 ,     11 , 972.0 ,10.8 , 0.0 ,0.00 ,3.0 , 0 , 2 , 0
Carlos Ernesto Cisneros      ,mx MEX  ,"DL,CC" ,Guadalajara ,31-087  ,1993       , 9 ,      5 , 321.0 , 3.6 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Kevin Escamilla              ,mx MEX  ,"CC,DF" ,Querétaro   ,30-278  ,1994       ,13 ,     11 , 886.0 , 9.8 , 0.0 ,0.00 ,1.0 , 0 , 3 , 0
Alonso Escoboza              ,mx MEX  ,"DF,CC" ,Mazatlán    ,31-308  ,1993       ,13 ,     10 , 861.0 , 9.6 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Dagoberto Espinoza           ,mx MEX  ,"DF,CC" ,América     ,20-222  ,2004       , 9 ,      5 , 501.0 , 5.6 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Luis Espinoza                ,mx MEX  ,DL      ,Santos      ,20-306  ,2004       , 3 ,      0 ,  36.0 , 0.4 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Ángel Estrada                ,mx MEX  ,CC      ,León        ,21-310  ,2003       ,10 ,      9 , 715.0 , 7.9 , 1.0 ,0.13 ,0.0 , 0 , 1 , 0
Oscar Estupiñan              ,co COL  ,DL      ,FC Juárez   ,27-332  ,1996       ,12 ,     11 ,1011.0 ,11.2 , 7.0 ,0.62 ,0.0 , 1 , 1 , 0
José Eulogio                 ,mx MEX  ,PO      ,Pachuca     ,20-288  ,2004       , 2 ,      2 , 180.0 , 2.0 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Franco Fagúndez              ,uy URU  ,"CC,DL" ,Santos      ,24-129  ,2000       ,13 ,      7 , 716.0 , 8.0 , 2.0 ,0.25 ,1.0 , 0 , 5 , 0
Lorenzo Faravelli            ,ar ARG  ,"CC,DL" ,Cruz Azul   ,31-241  ,1993       ,14 ,     13 ,1028.0 ,11.4 , 5.0 ,0.44 ,1.0 , 0 , 3 , 0
Carlos Felipe Rodríguez      ,mx MEX  ,PO      ,UANL        ,35-236  ,1989       , 3 ,      3 , 270.0 , 3.0 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Gabriel Fernández            ,uy URU  ,"DL,CC" ,Cruz Azul   ,30-196  ,1994       , 2 ,      0 ,  44.0 , 0.5 , 1.0 ,2.05 ,0.0 , 0 , 0 , 0
Rafael Fernández             ,mx MEX  ,DF      ,Tijuana     ,24-112  ,2000       ,15 ,     13 ,1046.0 ,11.6 , 0.0 ,0.00 ,0.0 , 0 , 3 , 0
Gustavo Ferrareis            ,br BRA  ,DF      ,Puebla      ,28-328  ,1996       ,16 ,     16 ,1414.0 ,15.7 , 1.0 ,0.06 ,0.0 , 0 , 5 , 0
Álvaro Fidalgo               ,es ESP  ,CC      ,América     ,27-230  ,1997       ,15 ,     12 ,1110.0 ,12.3 , 1.0 ,0.08 ,3.0 , 0 , 0 , 0
Iker Fimbres                 ,mx MEX  ,CC      ,Monterrey   ,19-176  ,2005       ,12 ,      6 , 545.0 , 6.1 , 2.0 ,0.33 ,0.0 , 0 , 3 , 0
Leonardo Flores              ,mx MEX  ,"DL,CC" ,Atlas       ,21-218  ,2003       , 7 ,      0 , 110.0 , 1.2 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Marcelo Flores               ,mx MEX  ,"DL,CC" ,UANL        ,21-055  ,2003       ,13 ,      2 , 383.0 , 4.3 , 2.0 ,0.47 ,0.0 , 0 , 1 , 0
Alexis Francisco Peña        ,mx MEX  ,DF      ,Necaxa      ,28-317  ,1996       , 4 ,      3 , 272.0 , 3.0 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Ramiro Franco                ,mx MEX  ,DF      ,Mazatlán    ,21-031  ,2003       , 8 ,      4 , 365.0 , 4.1 , 0.0 ,0.00 ,0.0 , 0 , 2 , 0
Adonis Frías                 ,ar ARG  ,"CC,DF" ,León        ,26-253  ,1998       , 8 ,      4 , 419.0 , 4.7 , 0.0 ,0.00 ,0.0 , 0 , 2 , 0
Raymundo Fulgencio           ,mx MEX  ,"DL,CC" ,Atlas       ,24-287  ,2000       ,17 ,     13 ,1053.0 ,11.7 , 1.0 ,0.09 ,4.0 , 0 , 2 , 0
Rogelio Funes Mori           ,mx MEX  ,DL      ,UNAM        ,33-265  ,1991       ,15 ,      6 , 608.0 , 6.8 , 1.0 ,0.15 ,1.0 , 0 , 2 , 0
Benjamín Galdames            ,mx MEX  ,"CC,DL" ,Atlético    ,23-275  ,2001       ,12 ,      1 , 239.0 , 2.7 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Jesús Gallardo               ,mx MEX  ,"DF,CC" ,Toluca      ,30-102  ,1994       ,16 ,     16 ,1421.0 ,15.8 , 4.0 ,0.25 ,3.0 , 0 , 3 , 0
Bryan Gamboa                 ,mx MEX  ,CC      ,Cruz Azul   ,22-257  ,2002       , 1 ,      0 ,  11.0 , 0.1 , 1.0 ,8.18 ,0.0 , 0 , 0 , 0
Aitor García                 ,es ESP  ,"DL,CC" ,FC Juárez   ,30-245  ,1994       ,13 ,      3 , 422.0 , 4.7 , 1.0 ,0.21 ,1.0 , 0 , 0 , 0
Amaury García                ,mx MEX  ,"CC,DL" ,Cruz Azul   ,22-342  ,2001       , 3 ,      0 ,  14.0 , 0.2 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Brian García                 ,mx MEX  ,DF      ,Toluca      ,27-025  ,1997       ,16 ,     14 ,1174.0 ,13.0 , 1.0 ,0.08 ,1.0 , 0 , 2 , 0
Denzell García               ,mx MEX  ,CC      ,FC Juárez   ,21-102  ,2003       , 3 ,      0 ,  13.0 , 0.1 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Gael García                  ,mx MEX  ,DL      ,Guadalajara ,16-174  ,2008       , 1 ,      0 ,   1.0 , 0.0 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Jorge García                 ,mx MEX  ,CC      ,Cruz Azul   ,22-308  ,2002       , 3 ,      0 ,  77.0 , 0.9 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
José García                  ,mx MEX  ,DF      ,FC Juárez   ,28-156  ,1996       , 8 ,      7 , 606.0 , 6.7 , 2.0 ,0.30 ,0.0 , 0 , 1 , 1
Luan Garcia                  ,br BRA  ,DF      ,Toluca      ,31-199  ,1993       ,16 ,     16 ,1395.0 ,15.5 , 1.0 ,0.06 ,0.0 , 0 , 2 , 0
Luis García                  ,mx MEX  ,"CC,DL" ,Puebla      ,31-245  ,1993       , 7 ,      0 , 117.0 , 1.3 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Mateo García                 ,ar ARG  ,"CC,DL" ,Atlas       ,28-076  ,1996       ,11 ,      2 , 343.0 , 3.8 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Bryan Garnica                ,mx MEX  ,"DL,DF" ,Necaxa      ,28-182  ,1996       ,15 ,     11 ,1002.0 ,11.1 , 0.0 ,0.00 ,0.0 , 0 , 1 , 1
César Garza                  ,mx MEX  ,CC      ,Monterrey   ,19-147  ,2005       , 2 ,      0 ,  17.0 , 0.2 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Jesús Garza                  ,mx MEX  ,DF      ,UANL        ,24-172  ,2000       , 8 ,      3 , 277.0 , 3.1 , 0.0 ,0.00 ,1.0 , 0 , 2 , 0
Giorgos Giakoumakis          ,gr GRE  ,DL      ,Cruz Azul   ,29-352  ,1994       ,13 ,      9 , 661.0 , 7.3 , 6.0 ,0.82 ,4.0 , 0 , 3 , 0
André-Pierre Gignac          ,fr FRA  ,DL      ,UANL        ,38-356  ,1985       ,16 ,     13 ,1024.0 ,11.4 , 7.0 ,0.62 ,1.0 , 2 , 1 , 0
Faber Gil                    ,co COL  ,"DL,CC" ,Pachuca     ,29-256  ,1995       , 9 ,      2 , 283.0 , 3.1 , 0.0 ,0.00 ,0.0 , 0 , 2 , 0
Alejandro Gómez              ,mx MEX  ,"DF,CC" ,Tijuana     ,22-299  ,2002       ,11 ,     10 , 839.0 , 9.3 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Diego Gómez                  ,mx MEX  ,CC      ,Necaxa      ,21-076  ,2003       ,11 ,      5 , 398.0 , 4.4 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Emiliano Gómez               ,uy URU  ,"DL,CC" ,Puebla      ,23-068  ,2001       ,10 ,      9 , 792.0 , 8.8 , 3.0 ,0.34 ,0.0 , 0 , 0 , 0
Luis Gómez                   ,mx MEX  ,"DF,DL" ,Santos      ,17-328  ,2007       , 3 ,      0 ,  25.0 , 0.3 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Jaime Gómez Valencia         ,mx MEX  ,"CC,DF" ,Querétaro   ,31-131  ,1993       ,10 ,      2 , 227.0 , 2.5 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Alfonso González             ,mx MEX  ,"CC,DL" ,Pachuca     ,30-081  ,1994       ,10 ,      4 , 364.0 , 4.0 , 2.0 ,0.49 ,0.0 , 0 , 1 , 1
Armando González             ,mx MEX  ,DL      ,Guadalajara ,21-219  ,2003       ,11 ,      6 , 510.0 , 5.7 , 3.0 ,0.53 ,1.0 , 0 , 1 , 0
Bryan González               ,mx MEX  ,DF      ,Pachuca     ,21-229  ,2003       ,16 ,     16 ,1372.0 ,15.2 , 0.0 ,0.00 ,1.0 , 0 , 2 , 0
Pablo González Díaz          ,mx MEX  ,CC      ,Puebla      ,32-141  ,1992       ,16 ,     14 ,1195.0 ,13.3 , 0.0 ,0.00 ,0.0 , 0 , 2 , 0
Hugo González Durán          ,mx MEX  ,PO      ,Mazatlán    ,34-116  ,1990       ,17 ,     17 ,1485.0 ,16.5 , 0.0 ,0.00 ,0.0 , 0 , 2 , 0
Carlos González Espínola     ,py PAR  ,DL      ,Tijuana     ,31-295  ,1993       ,11 ,      8 , 580.0 , 6.4 , 2.0 ,0.31 ,0.0 , 0 , 2 , 0
Jair González                ,mx MEX  ,"CC,DL" ,Puebla      ,22-266  ,2002       , 9 ,      0 , 170.0 , 1.9 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Jonathan González            ,mx MEX  ,CC      ,FC Juárez   ,25-226  ,1999       ,11 ,      6 , 501.0 , 5.6 , 0.0 ,0.00 ,1.0 , 0 , 1 , 0
Owen González                ,mx MEX  ,DL      ,Pachuca     ,21-128  ,2003       ,16 ,     12 , 895.0 , 9.9 , 1.0 ,0.10 ,2.0 , 0 , 2 , 0
Fernando Gorriarán           ,uy URU  ,CC      ,UANL        ,29-364  ,1994       ,17 ,     17 ,1433.0 ,15.9 , 2.0 ,0.13 ,0.0 , 0 , 2 , 0
Ismael Govea                 ,mx MEX  ,DF      ,Santos      ,27-279  ,1997       ,10 ,      7 , 610.0 , 6.8 , 0.0 ,0.00 ,0.0 , 0 , 1 , 1
Omar Govea                   ,mx MEX  ,CC      ,Guadalajara ,28-312  ,1996       ,10 ,      3 , 335.0 , 3.7 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Andrés Guardado              ,mx MEX  ,CC      ,León        ,38-058  ,1986       ,13 ,      9 , 842.0 , 9.4 , 1.0 ,0.11 ,1.0 , 0 , 3 , 0
Javier Güemez                ,mx MEX  ,CC      ,Atlético    ,33-039  ,1991       ,16 ,      9 , 901.0 ,10.0 , 1.0 ,0.10 ,3.0 , 0 , 1 , 0
Edgar Guerra                 ,co COL  ,"DF,CC" ,León        ,23-261  ,2001       ,15 ,      9 , 855.0 , 9.5 , 0.0 ,0.00 ,1.0 , 0 , 1 , 1
Carlos Guillen               ,mx MEX  ,"CC,DL" ,Atlas       ,20-320  ,2004       , 8 ,      3 , 300.0 , 3.3 , 0.0 ,0.00 ,0.0 , 0 , 2 , 0
Daniel Guillén               ,mx MEX  ,DF      ,Atlético    ,23-112  ,2001       , 6 ,      4 , 418.0 , 4.6 , 1.0 ,0.22 ,0.0 , 0 , 2 , 0
Emanuel Gularte              ,uy URU  ,DF      ,Puebla      ,27-056  ,1997       ,16 ,     16 ,1418.0 ,15.8 , 1.0 ,0.06 ,0.0 , 0 , 1 , 1
Alexis Gutiérrez             ,mx MEX  ,CC      ,Cruz Azul   ,24-273  ,2000       ,17 ,     14 ,1138.0 ,12.6 , 3.0 ,0.24 ,3.0 , 0 , 0 , 0
Luis Gutiérrez Castellanos   ,mx MEX  ,CC      ,Santos      ,22-298  ,2002       , 8 ,      6 , 538.0 , 6.0 , 0.0 ,0.00 ,1.0 , 0 , 2 , 0
Edson Gutiérrez              ,mx MEX  ,DF      ,Monterrey   ,28-311  ,1996       , 8 ,      7 , 586.0 , 6.5 , 1.0 ,0.15 ,0.0 , 0 , 0 , 0
Erick Gutiérrez              ,mx MEX  ,CC      ,Guadalajara ,29-163  ,1995       ,15 ,     14 ,1119.0 ,12.4 , 0.0 ,0.00 ,1.0 , 0 , 3 , 0
Ricardo Gutiérrez            ,mx MEX  ,PO      ,Mazatlán    ,27-161  ,1997       , 1 ,      0 ,  45.0 , 0.5 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Nahuel Guzmán                ,ar ARG  ,PO      ,UANL        ,38-289  ,1986       ,11 ,     11 , 990.0 ,11.0 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Víctor Guzmán                ,mx MEX  ,"DL,CC" ,Guadalajara ,29-296  ,1995       ,15 ,      3 , 583.0 , 6.5 , 1.0 ,0.15 ,1.0 , 0 , 2 , 0
Víctor Guzmán                ,mx MEX  ,DF      ,Monterrey   ,22-263  ,2002       ,15 ,     10 ,1032.0 ,11.5 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Helinho                      ,br BRA  ,DL      ,Toluca      ,24-214  ,2000       , 4 ,      2 , 188.0 , 2.1 , 1.0 ,0.48 ,0.0 , 0 , 0 , 0
Diego Hernández              ,uy URU  ,"CC,DL" ,León        ,24-156  ,2000       ,13 ,      8 , 773.0 , 8.6 , 2.0 ,0.23 ,2.0 , 0 , 3 , 0
Illian Hernandez             ,mx MEX  ,"DL,DF" ,América     ,24-227  ,2000       , 6 ,      1 , 126.0 , 1.4 , 1.0 ,0.71 ,0.0 , 0 , 0 , 0
Javier Hernández             ,mx MEX  ,DL      ,Guadalajara ,36-177  ,1988       , 6 ,      4 , 307.0 , 3.4 , 0.0 ,0.00 ,1.0 , 0 , 0 , 0
Jesús Hernández              ,mx MEX  ,"DL,CC" ,León        ,23-116  ,2001       , 4 ,      2 , 170.0 , 1.9 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Pedro Hernández              ,mx MEX  ,CC      ,León        ,24-025  ,2000       , 1 ,      0 ,   1.0 , 0.0 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Sebastián Hernández          ,mx MEX  ,"CC,DL" ,Querétaro   ,20-257  ,2004       , 8 ,      5 , 396.0 , 4.4 , 0.0 ,0.00 ,0.0 , 0 , 3 , 0
Sergio Hernandez             ,Unknown ,"CC,DL" ,Pachuca     ,Unknown ,Unknown    ,13 ,      6 , 543.0 , 6.0 , 2.0 ,0.33 ,2.0 , 0 , 2 , 0
Alberto Herrera              ,mx MEX  ,"CC,DL" ,Puebla      ,23-276  ,2001       ,14 ,      9 , 698.0 , 7.8 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Ozziel Herrera               ,mx MEX  ,"DL,CC" ,UANL        ,23-186  ,2001       ,16 ,      8 , 724.0 , 8.0 , 4.0 ,0.50 ,0.0 , 1 , 2 , 0
Héctor Holguín               ,mx MEX  ,PO      ,Santos      ,23-215  ,2001       , 1 ,      1 ,  90.0 , 1.0 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
César Huerta                 ,mx MEX  ,"DL,CC" ,UNAM        ,23-358  ,2000       ,15 ,     14 ,1290.0 ,14.3 , 5.0 ,0.35 ,3.0 , 1 , 5 , 0
Rodrigo Huescas              ,mx MEX  ,DF      ,Cruz Azul   ,21-068  ,2003       , 1 ,      1 ,  90.0 , 1.0 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Avilés Hurtado               ,co COL  ,"DL,CC" ,FC Juárez   ,37-219  ,1987       , 8 ,      4 , 335.0 , 3.7 , 1.0 ,0.27 ,0.0 , 1 , 1 , 0
Nicolás Ibáñez               ,ar ARG  ,DL      ,UANL        ,30-094  ,1994       ,17 ,      6 , 730.0 , 8.1 , 4.0 ,0.49 ,0.0 , 1 , 1 , 0
Oussama Idrissi              ,ma MAR  ,DL      ,Pachuca     ,28-273  ,1996       ,16 ,     14 ,1092.0 ,12.1 , 2.0 ,0.16 ,3.0 , 0 , 3 , 1
Hugo Isaác Rodríguez         ,mx MEX  ,DF      ,Santos      ,34-170  ,1990       , 2 ,      1 ,  76.0 , 0.8 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Mauricio Isais               ,mx MEX  ,"CC,DF" ,León        ,23-230  ,2001       , 2 ,      0 ,  26.0 , 0.3 , 1.0 ,3.46 ,0.0 , 0 , 1 , 0
Omar Israel Mendoza          ,mx MEX  ,DF      ,Querétaro   ,36-028  ,1988       ,15 ,     14 ,1202.0 ,13.4 , 0.0 ,0.00 ,1.0 , 0 , 3 , 1
Miguel Jiménez Ponce         ,mx MEX  ,PO      ,Puebla      ,34-256  ,1990       ,13 ,     13 ,1170.0 ,13.0 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Ricardo Jiménez              ,mx MEX  ,CC      ,Necaxa      ,18-217  ,2006       , 1 ,      0 ,   1.0 , 0.0 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Tahiel Jiménez               ,mx MEX  ,"CC,DL" ,Santos      ,18-308  ,2006       ,10 ,      4 , 397.0 , 4.4 , 1.0 ,0.23 ,0.0 , 0 , 3 , 0
Joaquim                      ,br BRA  ,DF      ,UANL        ,25-333  ,1998       ,13 ,     13 ,1162.0 ,12.9 , 0.0 ,0.00 ,1.0 , 0 , 2 , 0
José Joaquín Esquivel        ,mx MEX  ,DF      ,Mazatlán    ,26-323  ,1998       , 6 ,      4 , 363.0 , 4.0 , 0.0 ,0.00 ,0.0 , 0 , 2 , 0
Julio José González          ,mx MEX  ,PO      ,UNAM        ,33-216  ,1991       ,13 ,     13 ,1170.0 ,13.0 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Juan José Sánchez            ,co COL  ,"DF,CC" ,UANL        ,26-321  ,1998       , 2 ,      0 ,  28.0 , 0.3 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
José Juan Macías             ,mx MEX  ,"DL,CC" ,Santos      ,25-064  ,1999       , 2 ,      0 ,  44.0 , 0.5 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Ramón Juárez                 ,mx MEX  ,DF      ,América     ,23-200  ,2001       ,10 ,      8 , 760.0 , 8.4 , 1.0 ,0.12 ,0.0 , 0 , 2 , 0
Heriberto Jurado             ,mx MEX  ,"DL,DF" ,Necaxa      ,19-327  ,2005       ,13 ,     11 , 866.0 , 9.6 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Sebastián Jurado             ,mx MEX  ,PO      ,FC Juárez   ,27-058  ,1997       , 4 ,      4 , 360.0 , 4.0 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Mateo Klimowicz              ,de GER  ,"DL,CC" ,Atlético    ,24-142  ,2000       ,11 ,      7 , 562.0 , 6.2 , 3.0 ,0.48 ,1.0 , 0 , 0 , 0
Roberto de la Rosa           ,mx MEX  ,"DL,CC" ,Monterrey   ,24-326  ,2000       ,10 ,      2 , 241.0 , 2.7 , 0.0 ,0.00 ,1.0 , 0 , 0 , 0
Diego Lainez                 ,mx MEX  ,DL      ,UANL        ,24-169  ,2000       ,12 ,      6 , 608.0 , 6.8 , 0.0 ,0.00 ,3.0 , 0 , 0 , 0
Mauro Laínez                 ,mx MEX  ,"CC,DF" ,Mazatlán    ,28-200  ,1996       ,10 ,      0 , 188.0 , 2.1 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Emilio Lara                  ,mx MEX  ,DF      ,América     ,22-191  ,2002       , 1 ,      1 ,  59.0 , 0.7 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Emilio Lara                  ,mx MEX  ,DF      ,Necaxa      ,22-191  ,2002       , 9 ,      7 , 637.0 , 7.1 , 0.0 ,0.00 ,1.0 , 0 , 1 , 0
Israel Larios                ,mx MEX  ,"DL,CC" ,Atlas       ,21-198  ,2003       ,10 ,      1 , 185.0 , 2.1 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Federico Lértora             ,ar ARG  ,CC      ,Querétaro   ,34-143  ,1990       ,17 ,     17 ,1525.0 ,16.9 , 1.0 ,0.06 ,2.0 , 0 , 4 , 0
Mateo Levy                   ,mx MEX  ,"DL,CC" ,Cruz Azul   ,18-034  ,2006       , 7 ,      2 , 191.0 , 2.1 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Igor Lichnovsky              ,cl CHI  ,DF      ,América     ,30-263  ,1994       , 1 ,      1 ,  90.0 , 1.0 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Erik Lira                    ,mx MEX  ,DF      ,Cruz Azul   ,24-201  ,2000       ,16 ,     15 ,1311.0 ,14.6 , 0.0 ,0.00 ,0.0 , 0 , 2 , 0
Aldo López                   ,mx MEX  ,"DF,CC" ,Santos      ,24-186  ,2000       ,13 ,     11 , 947.0 ,10.5 , 0.0 ,0.00 ,1.0 , 0 , 1 , 0
César López                  ,mx MEX  ,"DL,CC" ,FC Juárez   ,22-263  ,2002       , 3 ,      0 ,  18.0 , 0.2 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Cesar López                  ,mx MEX  ,PO      ,Atlético    ,24-168  ,2000       , 1 ,      1 ,  90.0 , 1.0 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Eder López                   ,mx MEX  ,DF      ,FC Juárez   ,18-329  ,2006       , 4 ,      0 , 103.0 , 1.1 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Edgar López                  ,mx MEX  ,"DL,CC" ,Toluca      ,25-218  ,1999       ,12 ,      2 , 293.0 , 3.3 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Rodrigo López                ,mx MEX  ,"DF,CC" ,UNAM        ,23-013  ,2001       ,11 ,      1 , 243.0 , 2.7 , 1.0 ,0.37 ,1.0 , 0 , 1 , 0
Victor Lopez                 ,mx MEX  ,CC      ,Querétaro   ,21-201  ,2003       , 2 ,      0 ,  49.0 , 0.5 , 1.0 ,1.84 ,0.0 , 0 , 0 , 0
Vladimir Loroña              ,mx MEX  ,"DF,DL" ,Santos      ,26-009  ,1998       , 4 ,      2 , 242.0 , 2.7 , 0.0 ,0.00 ,0.0 , 0 , 2 , 0
Anthony Lozano               ,hn HON  ,DL      ,Santos      ,31-214  ,1993       ,13 ,     12 , 943.0 ,10.5 , 3.0 ,0.29 ,0.0 , 0 , 2 , 0
Esteban Lozano               ,mx MEX  ,DL      ,América     ,21-260  ,2003       , 1 ,      0 ,  31.0 , 0.3 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
José Lozano                  ,mx MEX  ,"DL,CC" ,Atlas       ,26-051  ,1998       ,16 ,     13 ,1019.0 ,11.3 , 2.0 ,0.18 ,3.0 , 0 , 3 , 0
José Luis Rodríguez          ,pa PAN  ,"CC,DL" ,FC Juárez   ,26-159  ,1998       , 9 ,      5 , 422.0 , 4.7 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Oscar Macías                 ,mx MEX  ,CC      ,Atlético    ,26-139  ,1998       ,13 ,     11 , 953.0 ,10.6 , 1.0 ,0.09 ,1.0 , 0 , 0 , 0
Waldo Madrid                 ,mx MEX  ,DL      ,Necaxa      ,21-092  ,2003       , 1 ,      0 ,  27.0 , 0.3 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Fernando Madrigal            ,mx MEX  ,CC      ,Tijuana     ,33-013  ,1991       , 4 ,      2 , 191.0 , 2.1 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Lisandro Magallán            ,ar ARG  ,DF      ,UNAM        ,31-059  ,1993       ,12 ,     12 ,1062.0 ,11.8 , 0.0 ,0.00 ,0.0 , 0 , 2 , 0
Óscar Manzanarez             ,mx MEX  ,DF      ,Querétaro   ,29-215  ,1995       , 8 ,      7 , 596.0 , 6.6 , 0.0 ,0.00 ,0.0 , 0 , 4 , 0
Cristian Mares               ,mx MEX  ,CC      ,Puebla      ,20-074  ,2004       , 1 ,      0 ,  11.0 , 0.1 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
