Player,Country,Position,Team,Age,Matches_Played,Minutes,Goals,Assists,Shots_on_Target,Yellow_Cards,Red_Cards
Kevin Balanta,co COL,DF,Tijuana,27.0,9.0,591.0,0.0,0.0,0.0,1.0,0.0
Fidel Barajas,mx MEX,"CC,DL",Guadalajara,18.0,5.0,87.0,0.0,0.0,0.0,0.0,0.0
Víctor Barajas,mx MEX,DF,León,21.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
Diego Barbosa,mx MEX,DF,Tijuana,28.0,6.0,239.0,0.0,0.0,0.0,0.0,0.0
Jaine Barreiro,co COL,DF,León,30.0,17.0,1507.0,1.0,0.0,0.0,3.0,0.0
Pablo Barrera,mx MEX,"CC,DL",Querétaro,37.0,17.0,1287.0,1.0,0.0,0.0,1.0,0.0
Sergio Barreto,ar ARG,DF,Pachuca,25.0,15.0,1307.0,0.0,1.0,0.0,5.0,0.0
Abraham Bass,mx MEX,CC,Atlas,23.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0
Borja Bastón,es ESP,DL,Pachuca,32.0,7.0,352.0,0.0,0.0,0.0,0.0,0.0
Alán Bautista,mx MEX,"CC,DL",Pachuca,22.0,10.0,401.0,1.0,0.0,0.0,0.0,0.0
Paul Bellón,mx MEX,DF,León,27.0,17.0,1530.0,0.0,0.0,0.0,4.0,0.0
Fernando Beltrán,mx MEX,"CC,DL",Guadalajara,26.0,17.0,1256.0,1.0,1.0,0.0,3.0,0.0
Nicolás Benedetti,co COL,CC,Mazatlán,27.0,6.0,243.0,0.0,0.0,0.0,2.0,0.0
Darío Benedetto,ar ARG,DL,Querétaro,34.0,8.0,427.0,0.0,0.0,0.0,0.0,0.0
Pablo Bennevendo Peña,mx MEX,DF,UNAM,24.0,17.0,1358.0,0.0,0.0,0.0,1.0,0.0
Jorge Berlanga,mx MEX,DF,Pachuca,21.0,7.0,529.0,0.0,0.0,0.0,4.0,0.0
Germán Berterame,mx MEX,DL,Monterrey,26.0,15.0,1237.0,2.5,0.0,0.0,2.0,0.0
Unai Bilbao,es ESP,DF,Tijuana,30.0,15.0,1096.0,0.0,1.0,0.0,0.0,0.0
Alfonso Blanco Antúnez,mx MEX,PO,León,37.0,17.0,1530.0,0.0,0.0,0.0,2.0,0.0
Domingo Blanco,ar ARG,"DL,CC",Tijuana,29.0,14.0,887.0,2.5,0.0,0.0,2.0,0.0
Franck Boli,ci CIV,DL,Atlético,30.0,14.0,813.0,2.5,0.0,0.0,1.0,0.0
Léo Bonatini,br BRA,DL,Atlético,30.0,11.0,462.0,2.0,0.0,0.0,0.0,0.0
Cristian Borja,co COL,DF,América,31.0,12.0,721.0,0.0,1.0,0.0,0.0,0.0
Antonio Briseño,mx MEX,DF,Guadalajara,30.0,7.0,541.0,0.0,1.0,0.0,2.0,0.0
Isaác Brizuela,mx MEX,"CC,DL",Guadalajara,34.0,3.0,48.0,0.0,0.0,0.0,0.0,0.0
Juan Brunetta,ar ARG,CC,UANL,27.0,15.0,809.0,2.5,2.0,0.0,1.0,0.0
Gustavo Cabral,ar ARG,DF,Pachuca,39.0,11.0,894.0,0.0,0.0,0.0,3.0,0.0
Luciano Cabral,cl CHI,"DL,CC",León,29.0,15.0,1071.0,1.0,2.5,0.0,3.0,0.0
Sebastián Cáceres,uy URU,DF,América,25.0,3.0,142.0,0.0,0.0,0.0,0.0,0.0
Jhonder Cádiz,ve VEN,DL,León,29.0,15.0,1021.0,2.5,1.0,0.0,4.0,0.0
José Caicedo,co COL,CC,UNAM,22.0,17.0,1364.0,1.0,1.0,0.0,4.0,0.0
Cristian Calderón,mx MEX,DF,América,27.0,14.0,874.0,0.0,0.0,0.0,3.0,0.0
Francisco Calvo,cr CRC,DF,FC Juárez,32.0,3.0,270.0,0.0,0.0,0.0,1.0,0.0
Raúl Camacho,mx MEX,"DL,DF",Mazatlán,22.0,9.0,307.0,2.0,0.0,0.0,2.0,0.0
Diber Cambindo,co COL,DL,Necaxa,28.0,16.0,1235.0,2.5,0.0,0.0,2.0,0.0
Diego Campillo,mx MEX,CC,FC Juárez,23.0,17.0,1251.0,1.0,0.0,0.0,4.0,0.0
Sergio Canales,es ESP,"CC,DL",Monterrey,33.0,17.0,1504.0,2.5,2.0,0.0,3.0,0.0
Camilo Cándido,uy URU,"DF,DL",Cruz Azul,29.0,11.0,229.0,0.0,0.0,0.0,0.0,0.0
Luis Cárdenas,mx MEX,PO,Monterrey,31.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0
Rafael Carioca,br BRA,CC,UANL,35.0,13.0,1027.0,0.0,0.0,0.0,1.0,0.0
Héctor Carranza,mx MEX,CC,Santos,20.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0
Jordan Carrillo,mx MEX,"CC,DL",Santos,22.0,13.0,851.0,0.0,0.0,0.0,1.0,0.0
Stephano Carrillo,mx MEX,"DL,DF",Santos,18.0,8.0,183.0,0.0,0.0,0.0,0.0,0.0
Guilherme Carvalho,br BRA,CC,FC Juárez,25.0,12.0,967.0,1.0,2.0,0.0,2.0,0.0
Kevin Castañeda,mx MEX,"CC,DL",Tijuana,25.0,14.0,896.0,2.5,0.0,0.0,2.0,0.0
Klever Castillo,mx MEX,DL,Toluca,19.0,3.0,70.0,0.0,0.0,0.0,0.0,0.0
Moises Castillo,co COL,DF,FC Juárez,23.0,10.0,573.0,0.0,0.0,0.0,2.0,0.0
José Castillo Pérez,mx MEX,DF,Guadalajara,22.0,16.0,1385.0,0.0,1.0,0.0,0.0,0.0
Raúl Castillo,mx MEX,"CC,DL",Puebla,22.0,15.0,785.0,1.0,0.0,0.0,3.0,0.0
Manuel Castro,uy URU,"CC,DL",FC Juárez,29.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0
Lucas Cavallini,ca CAN,DL,Puebla,31.0,4.0,328.0,2.5,0.0,0.0,1.0,0.0
Alan Cervantes,mx MEX,CC,Santos,26.0,1.0,90.0,0.0,0.0,0.0,1.0,0.0
Alan Cervantes,mx MEX,CC,América,26.0,12.0,660.0,1.0,0.0,0.0,0.0,0.0
Luís Cervantes,mx MEX,DF,León,23.0,1.0,33.0,0.0,0.0,0.0,0.0,0.0
Mateo Chávez,mx MEX,DF,Guadalajara,20.0,12.0,691.0,0.0,2.0,0.0,1.0,0.0
Ricardo Chávez Soto,mx MEX,DF,Atlético,30.0,17.0,1229.0,1.0,2.0,0.0,3.0,0.0
Ronaldo Cisneros,mx MEX,"DL,DF",Querétaro,27.0,9.0,318.0,2.0,0.0,0.0,0.0,0.0
Josué Colmán,py PAR,"CC,DF",Mazatlán,26.0,15.0,552.0,2.0,0.0,0.0,0.0,0.0
Bryan Colula,mx MEX,"DF,CC",Mazatlán,28.0,16.0,1314.0,0.0,0.0,0.0,4.0,0.0
Francisco Contreras,mx MEX,"DF,CC",Tijuana,25.0,10.0,482.0,0.0,0.0,0.0,0.0,0.0
Jesús Corona,mx MEX,"CC,DL",Monterrey,31.0,14.0,586.0,1.0,1.0,0.0,1.0,0.0
Joe Corona,us USA,CC,Tijuana,34.0,10.0,554.0,1.0,1.0,0.0,2.0,0.0
José Corona,mx MEX,PO,Tijuana,39.5,8.0,640.0,0.0,0.0,0.0,0.0,0.0
Rogelio Cortéz Pineda,mx MEX,"DL,CC",Necaxa,20.0,7.0,171.0,1.0,0.0,0.0,0.0,0.0
Jordi Cortizo,mx MEX,"CC,DL",Monterrey,28.0,13.0,583.0,2.0,1.0,0.0,2.0,0.0
Rodolfo Cota,mx MEX,PO,América,37.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0
Cade Cowell,us USA,"CC,DL",Guadalajara,21.0,12.0,831.0,2.5,2.0,0.0,0.0,0.0
Aldo Cruz,mx MEX,DF,Atlético,27.0,14.0,1147.0,0.0,0.0,0.0,1.0,0.0
Jürgen Damm,mx MEX,DF,Atlético,32.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0
José David Ramírez,mx MEX,CC,León,28.0,11.0,607.0,0.0,1.0,0.0,1.0,0.0
Víctor Dávila,cl CHI,"DL,CC",América,27.0,6.0,250.0,1.0,0.0,0.0,0.0,0.0
Diego De Buen,mx MEX,CC,Puebla,33.0,17.0,1427.0,1.0,0.0,0.0,2.0,0.0
Sergio De los Ríos,mx MEX,"CC,DF",Pachuca,21.0,5.0,108.0,0.0,0.0,0.0,0.0,0.0
Gustavo Del Prete,ar ARG,"CC,DL",Mazatlán,28.0,3.0,230.0,1.0,0.0,0.0,1.0,0.0
Everardo Del Villar,mx MEX,DF,Toluca,19.0,3.0,213.0,0.0,0.0,0.0,0.0,0.0
Arturo Delgado,mx MEX,PO,FC Juárez,22.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0
Nelson Deossa,co COL,CC,Pachuca,24.0,16.0,1212.0,2.0,2.0,0.0,5.0,0.0
Benny Díaz,mx MEX,PO,FC Juárez,25.0,11.0,990.0,0.0,0.0,0.0,3.0,0.0
Nicolás Díaz Huincales,cl CHI,DF,Tijuana,25.0,9.0,679.0,0.0,0.0,0.0,2.0,0.0
Jair Díaz,mx MEX,DF,Mazatlán,26.0,12.0,931.0,0.0,0.0,0.0,4.0,0.0
Javairô Dilrosun,nl NED,"DL,CC",América,26.0,11.0,612.0,1.0,1.0,0.0,3.0,0.0
Willer Ditta,co COL,DF,Cruz Azul,27.0,17.0,1530.0,0.0,0.0,0.0,3.0,0.0
Alexei Dominguez,mx MEX,DL,Pachuca,19.0,3.0,69.0,0.0,0.0,0.0,0.0,0.0
Idekel Domínguez,mx MEX,DF,Atlas,24.0,2.0,143.0,0.0,0.0,0.0,0.0,0.0
Joel Domínguez,mx MEX,CC,Monterrey,19.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
Jose Domínguez,py PAR,DF,Querétaro,28.0,10.0,846.0,0.0,0.0,0.0,5.0,0.0
Juan Domínguez,mx MEX,"DL,CC",Toluca,26.0,17.0,764.0,0.0,1.0,0.0,1.0,0.0
Julio Domínguez,mx MEX,DF,Atlético,37.0,14.0,1193.0,0.0,1.0,0.0,3.0,0.0
Misael Domínguez,mx MEX,"DL,CC",Querétaro,25.0,2.0,78.0,0.0,0.0,0.0,0.0,0.0
Dória,br BRA,DF,Atlas,30.0,14.0,1180.0,0.0,0.0,0.0,4.0,0.0
Jonathan dos Santos,mx MEX,CC,América,34.0,14.0,751.0,0.0,0.0,0.0,3.0,0.0
Rodrigo Dourado,br BRA,"CC,DF",Atlético,30.0,16.0,1415.0,1.0,0.0,0.0,5.0,0.0
Anderson Duarte,uy URU,"CC,DL",Toluca,20.0,7.0,136.0,1.0,0.0,0.0,0.0,0.0
Rubén Duarte,es ESP,DF,UNAM,29.0,14.0,1241.0,0.0,0.0,0.0,3.0,0.0
Rafael Durán,mx MEX,"CC,DL",Puebla,27.0,8.0,151.0,1.0,0.0,0.0,0.0,0.0
Emmanuel Echeverría,mx MEX,DF,Santos,21.0,14.0,1064.0,1.0,0.0,0.0,3.0,0.0
Edson,br BRA,DF,FC Juárez,26.0,13.0,523.0,0.0,0.0,0.0,3.0,0.0
José Eduardo Castillo,mx MEX,DF,Pachuca,20.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0
Javier Eduardo López,mx MEX,"CC,DL",Pachuca,30.0,3.0,87.0,1.0,0.0,0.0,0.0,0.0
Jorge Eduardo Sánchez,mx MEX,"DF,DL",Cruz Azul,26.0,15.0,1242.0,1.0,1.0,0.0,2.0,0.0
Francisco Eduardo Venegas,mx MEX,DF,Querétaro,26.0,12.0,821.0,0.0,0.0,0.0,3.0,0.0
Luis Enrique Quiñones,co COL,"DL,CC",Puebla,33.0,11.0,878.0,2.5,1.0,0.0,5.0,0.0
Luis Enrique Quiñones,co COL,"DL,CC",UANL,33.0,4.0,171.0,0.0,1.0,0.0,0.0,0.0
Robert Ergas,uy URU,DF,UNAM,26.0,14.0,972.0,0.0,2.5,0.0,2.0,0.0
Carlos Ernesto Cisneros,mx MEX,"DL,CC",Guadalajara,31.0,9.0,321.0,0.0,0.0,0.0,0.0,0.0
Kevin Escamilla,mx MEX,"CC,DF",Querétaro,30.0,13.0,886.0,0.0,1.0,0.0,3.0,0.0
Alonso Escoboza,mx MEX,"DF,CC",Mazatlán,31.0,13.0,861.0,0.0,0.0,0.0,1.0,0.0
Dagoberto Espinoza,mx MEX,"DF,CC",América,20.0,9.0,501.0,0.0,0.0,0.0,1.0,0.0
Luis Espinoza,mx MEX,DL,Santos,20.0,3.0,36.0,0.0,0.0,0.0,0.0,0.0
Ángel Estrada,mx MEX,CC,León,21.0,10.0,715.0,1.0,0.0,0.0,1.0,0.0
Oscar Estupiñan,co COL,DL,FC Juárez,27.0,12.0,1011.0,2.5,0.0,0.0,1.0,0.0
José Eulogio,mx MEX,PO,Pachuca,20.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0
Franco Fagúndez,uy URU,"CC,DL",Santos,24.0,13.0,716.0,2.0,1.0,0.0,5.0,0.0
Lorenzo Faravelli,ar ARG,"CC,DL",Cruz Azul,31.0,14.0,1028.0,2.5,1.0,0.0,3.0,0.0
Carlos Felipe Rodríguez,mx MEX,PO,UANL,35.0,3.0,270.0,0.0,0.0,0.0,0.0,0.0
