Player                       ,Country ,Position ,Team        ,Age  ,Matches_Played ,Minutes ,Goals                 ,Assists               ,Shots_on_Target ,Yellow_Cards          ,Red_Cards
Esteban Andrada              ,ar ARG  ,PO       ,Monterrey   ,33.0 ,          16.0 , 1440.0 ,0.0                   ,0.0                   ,            0.0 ,0.003472222222222222  ,      0.0
Alejandro Andrade            ,mx MEX  ,CC       ,Necaxa      ,23.0 ,           4.0 ,  186.0 ,0.0                   ,0.0                   ,            0.0 ,0.0                   ,      0.0
Luis Ángel Malagón           ,mx MEX  ,PO       ,América     ,27.0 ,          16.0 , 1440.0 ,0.0                   ,0.0                   ,            0.0 ,0.0006944444444444445 ,      0.0
Brayan Angulo                ,co COL  ,DF       ,Puebla      ,35.0 ,          17.0 , 1432.0 ,0.0                   ,0.0013966480446927375 ,            0.0 ,0.0006983240223463687 ,      0.0
Jesús Angulo                 ,mx MEX  ,"CC,DL"  ,Toluca      ,27.0 ,          15.0 ,  839.0 ,0.0029797377830750892 ,0.0029797377830750892 ,            0.0 ,0.0                   ,      0.0
José Antonio Rodríguez       ,mx MEX  ,PO       ,Tijuana     ,32.0 ,          10.0 ,  890.0 ,0.0                   ,0.0                   ,            0.0 ,0.0                   ,      0.0
Uriel Antuna                 ,mx MEX  ,"DL,CC"  ,Cruz Azul   ,27.0 ,           5.0 ,  231.0 ,0.0                   ,0.0                   ,            0.0 ,0.0                   ,      0.0
Uriel Antuna                 ,mx MEX  ,DL       ,UANL        ,27.0 ,          10.0 ,  405.0 ,0.0                   ,0.0024691358024691358 ,            0.0 ,0.0024691358024691358 ,      0.0
Javier Aquino                ,mx MEX  ,DF       ,UANL        ,34.0 ,          16.0 , 1366.0 ,0.0                   ,0.0                   ,            0.0 ,0.0029282576866764276 ,      0.0
Pedro Aquino                 ,pe PER  ,CC       ,Santos      ,29.0 ,           7.0 ,  396.0 ,0.0                   ,0.0                   ,            0.0 ,0.010101010101010102  ,      0.0
Diego Araujo                 ,mx MEX  ,CC       ,Querétaro   ,21.0 ,           2.0 ,  108.0 ,0.0                   ,0.0                   ,            0.0 ,0.0                   ,      0.0
Maximiliano Araújo           ,uy URU  ,DL       ,Toluca      ,24.0 ,           2.0 ,  103.0 ,0.009708737864077669  ,0.0                   ,            0.0 ,0.009708737864077669  ,      0.0
Néstor Araujo                ,mx MEX  ,DF       ,América     ,33.0 ,          13.0 , 1029.0 ,0.0                   ,0.001943634596695821  ,            0.0 ,0.0009718172983479105 ,      0.0
Fernando Arce Jr.            ,us USA  ,CC       ,Necaxa      ,28.0 ,          15.0 , 1036.0 ,0.0019305019305019305 ,0.0                   ,            0.0 ,0.004826254826254826  ,      0.0
Ramiro Árciga                ,mx MEX  ,"CC,DL"  ,Mazatlán    ,20.0 ,          17.0 ,  953.0 ,0.0                   ,0.0                   ,            0.0 ,0.002098635886673662  ,      0.0
Gerardo Arteaga              ,mx MEX  ,DF       ,Monterrey   ,26.0 ,          13.0 , 1064.0 ,0.0                   ,0.0                   ,            0.0 ,0.0018796992481203006 ,      0.0
Víctor Arteaga               ,mx MEX  ,CC       ,Toluca      ,20.0 ,          15.0 ,  513.0 ,0.0                   ,0.001949317738791423  ,            0.0 ,0.005847953216374269  ,      0.0
Ali Ávila                    ,mx MEX  ,DL       ,UNAM        ,21.0 ,           7.0 ,  122.0 ,0.0                   ,0.0                   ,            0.0 ,0.0                   ,      0.0
Ettson Ayon                  ,mx MEX  ,DL       ,León        ,23.0 ,           7.0 ,  200.0 ,0.0                   ,0.0                   ,            0.0 ,0.0                   ,      0.0
Tomás Badaloni               ,ar ARG  ,DL       ,Necaxa      ,24.0 ,          13.0 ,  461.0 ,0.004338394793926247  ,0.0                   ,            0.0 ,0.0                   ,      0.0
Claudio Baeza                ,cl CHI  ,"CC,DF"  ,Toluca      ,30.0 ,          16.0 , 1016.0 ,0.0                   ,0.000984251968503937  ,            0.0 ,0.003937007874015748  ,      0.0
Kevin Balanta                ,co COL  ,DF       ,Tijuana     ,27.0 ,           9.0 ,  591.0 ,0.0                   ,0.0                   ,            0.0 ,0.001692047377326565  ,      0.0
Fidel Barajas                ,mx MEX  ,"CC,DL"  ,Guadalajara ,18.0 ,           5.0 ,   87.0 ,0.0                   ,0.0                   ,            0.0 ,0.0                   ,      0.0
Víctor Barajas               ,mx MEX  ,DF       ,León        ,21.0 ,           1.0 ,    2.0 ,0.0                   ,0.0                   ,            0.0 ,0.0                   ,      0.0
Diego Barbosa                ,mx MEX  ,DF       ,Tijuana     ,28.0 ,           6.0 ,  239.0 ,0.0                   ,0.0                   ,            0.0 ,0.0                   ,      0.0
Jaine Barreiro               ,co COL  ,DF       ,León        ,30.0 ,          17.0 , 1507.0 ,0.0006635700066357001 ,0.0                   ,            0.0 ,0.0019907100199071004 ,      0.0
Pablo Barrera                ,mx MEX  ,"CC,DL"  ,Querétaro   ,37.0 ,          17.0 , 1287.0 ,0.000777000777000777  ,0.0                   ,            0.0 ,0.000777000777000777  ,      0.0
Sergio Barreto               ,ar ARG  ,DF       ,Pachuca     ,25.0 ,          15.0 , 1307.0 ,0.0                   ,0.0007651109410864575 ,            0.0 ,0.0038255547054322878 ,      0.0
Abraham Bass                 ,mx MEX  ,CC       ,Atlas       ,23.0 ,           1.0 ,   10.0 ,0.0                   ,0.0                   ,            0.0 ,0.0                   ,      0.0
Borja Bastón                 ,es ESP  ,DL       ,Pachuca     ,32.0 ,           7.0 ,  352.0 ,0.0                   ,0.0                   ,            0.0 ,0.0                   ,      0.0
Alán Bautista                ,mx MEX  ,"CC,DL"  ,Pachuca     ,22.0 ,          10.0 ,  401.0 ,0.0024937655860349127 ,0.0                   ,            0.0 ,0.0                   ,      0.0
Paul Bellón                  ,mx MEX  ,DF       ,León        ,27.0 ,          17.0 , 1530.0 ,0.0                   ,0.0                   ,            0.0 ,0.00261437908496732   ,      0.0
Fernando Beltrán             ,mx MEX  ,"CC,DL"  ,Guadalajara ,26.0 ,          17.0 , 1256.0 ,0.0007961783439490446 ,0.0007961783439490446 ,            0.0 ,0.0023885350318471337 ,      0.0
Nicolás Benedetti            ,co COL  ,CC       ,Mazatlán    ,27.0 ,           6.0 ,  243.0 ,0.0                   ,0.0                   ,            0.0 ,0.00823045267489712   ,      0.0
Darío Benedetto              ,ar ARG  ,DL       ,Querétaro   ,34.0 ,           8.0 ,  427.0 ,0.0                   ,0.0                   ,            0.0 ,0.0                   ,      0.0
Pablo Bennevendo Peña        ,mx MEX  ,DF       ,UNAM        ,24.0 ,          17.0 , 1358.0 ,0.0                   ,0.0                   ,            0.0 ,0.0007363770250368188 ,      0.0
Jorge Berlanga               ,mx MEX  ,DF       ,Pachuca     ,21.0 ,           7.0 ,  529.0 ,0.0                   ,0.0                   ,            0.0 ,0.007561436672967864  ,      0.0
Germán Berterame             ,mx MEX  ,DL       ,Monterrey   ,26.0 ,          15.0 , 1237.0 ,0.002021018593371059  ,0.0                   ,            0.0 ,0.0016168148746968471 ,      0.0
Unai Bilbao                  ,es ESP  ,DF       ,Tijuana     ,30.0 ,          15.0 , 1096.0 ,0.0                   ,0.0009124087591240876 ,            0.0 ,0.0                   ,      0.0
Alfonso Blanco Antúnez       ,mx MEX  ,PO       ,León        ,37.0 ,          17.0 , 1530.0 ,0.0                   ,0.0                   ,            0.0 ,0.00130718954248366   ,      0.0
Domingo Blanco               ,ar ARG  ,"DL,CC"  ,Tijuana     ,29.0 ,          14.0 ,  887.0 ,0.002818489289740699  ,0.0                   ,            0.0 ,0.002254791431792559  ,      0.0
Franck Boli                  ,ci CIV  ,DL       ,Atlético    ,30.0 ,          14.0 ,  813.0 ,0.003075030750307503  ,0.0                   ,            0.0 ,0.0012300123001230013 ,      0.0
Léo Bonatini                 ,br BRA  ,DL       ,Atlético    ,30.0 ,          11.0 ,  462.0 ,0.004329004329004329  ,0.0                   ,            0.0 ,0.0                   ,      0.0
Cristian Borja               ,co COL  ,DF       ,América     ,31.0 ,          12.0 ,  721.0 ,0.0                   ,0.0013869625520110957 ,            0.0 ,0.0                   ,      0.0
Antonio Briseño              ,mx MEX  ,DF       ,Guadalajara ,30.0 ,           7.0 ,  541.0 ,0.0                   ,0.0018484288354898336 ,            0.0 ,0.0036968576709796672 ,      0.0
Isaác Brizuela               ,mx MEX  ,"CC,DL"  ,Guadalajara ,34.0 ,           3.0 ,   48.0 ,0.0                   ,0.0                   ,            0.0 ,0.0                   ,      0.0
Juan Brunetta                ,ar ARG  ,CC       ,UANL        ,27.0 ,          15.0 ,  809.0 ,0.0030902348578491965 ,0.002472187886279357  ,            0.0 ,0.0012360939431396785 ,      0.0
Gustavo Cabral               ,ar ARG  ,DF       ,Pachuca     ,39.0 ,          11.0 ,  894.0 ,0.0                   ,0.0                   ,            0.0 ,0.003355704697986577  ,      0.0
Luciano Cabral               ,cl CHI  ,"DL,CC"  ,León        ,29.0 ,          15.0 , 1071.0 ,0.0009337068160597573 ,0.002334267040149393  ,            0.0 ,0.0028011204481792717 ,      0.0
Sebastián Cáceres            ,uy URU  ,DF       ,América     ,25.0 ,           3.0 ,  142.0 ,0.0                   ,0.0                   ,            0.0 ,0.0                   ,      0.0
Jhonder Cádiz                ,ve VEN  ,DL       ,León        ,29.0 ,          15.0 , 1021.0 ,0.002448579823702253  ,0.0009794319294809011 ,            0.0 ,0.0039177277179236044 ,      0.0
José Caicedo                 ,co COL  ,CC       ,UNAM        ,22.0 ,          17.0 , 1364.0 ,0.0007331378299120235 ,0.0007331378299120235 ,            0.0 ,0.002932551319648094  ,      0.0
Cristian Calderón            ,mx MEX  ,DF       ,América     ,27.0 ,          14.0 ,  874.0 ,0.0                   ,0.0                   ,            0.0 ,0.003432494279176201  ,      0.0
Francisco Calvo              ,cr CRC  ,DF       ,FC Juárez   ,32.0 ,           3.0 ,  270.0 ,0.0                   ,0.0                   ,            0.0 ,0.003703703703703704  ,      0.0
Raúl Camacho                 ,mx MEX  ,"DL,DF"  ,Mazatlán    ,22.0 ,           9.0 ,  307.0 ,0.006514657980456026  ,0.0                   ,            0.0 ,0.006514657980456026  ,      0.0
Diber Cambindo               ,co COL  ,DL       ,Necaxa      ,28.0 ,          16.0 , 1235.0 ,0.0020242914979757085 ,0.0                   ,            0.0 ,0.0016194331983805667 ,      0.0
Diego Campillo               ,mx MEX  ,CC       ,FC Juárez   ,23.0 ,          17.0 , 1251.0 ,0.0007993605115907274 ,0.0                   ,            0.0 ,0.0031974420463629096 ,      0.0
Sergio Canales               ,es ESP  ,"CC,DL"  ,Monterrey   ,33.0 ,          17.0 , 1504.0 ,0.0016622340425531915 ,0.0013297872340425532 ,            0.0 ,0.0019946808510638296 ,      0.0
Camilo Cándido               ,uy URU  ,"DF,DL"  ,Cruz Azul   ,29.0 ,          11.0 ,  229.0 ,0.0                   ,0.0                   ,            0.0 ,0.0                   ,      0.0
Luis Cárdenas                ,mx MEX  ,PO       ,Monterrey   ,31.0 ,           1.0 ,   90.0 ,0.0                   ,0.0                   ,            0.0 ,0.0                   ,      0.0
Rafael Carioca               ,br BRA  ,CC       ,UANL        ,35.0 ,          13.0 , 1027.0 ,0.0                   ,0.0                   ,            0.0 ,0.0009737098344693282 ,      0.0
Héctor Carranza              ,mx MEX  ,CC       ,Santos      ,20.0 ,           1.0 ,    7.0 ,0.0                   ,0.0                   ,            0.0 ,0.0                   ,      0.0
Jordan Carrillo              ,mx MEX  ,"CC,DL"  ,Santos      ,22.0 ,          13.0 ,  851.0 ,0.0                   ,0.0                   ,            0.0 ,0.0011750881316098707 ,      0.0
Stephano Carrillo            ,mx MEX  ,"DL,DF"  ,Santos      ,18.0 ,           8.0 ,  183.0 ,0.0                   ,0.0                   ,            0.0 ,0.0                   ,      0.0
